Supplementary Data 3 -Differentially expressed genes in food allergy,,,,,,,,,,,,,,
transcript ID,entrez ID,symbol,chromosome,start,end,biotype,description,log FoldChange (case-control),Average Expression,t statistic,P.Value,adjusted.P.Value,B score,direction
ENSG00000169764,7360,UGP2,2,64068074,64118696,protein_coding,UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:12527],-0.19408102,6.62151447,-3.557027558,0.000649742,0.018123263,-0.829143653,down
ENSG00000077514,10714,POLD3,11,74204896,74380162,protein_coding,"polymerase (DNA-directed), delta 3, accessory subunit [Source:HGNC Symbol;Acc:20932]",-0.192473326,5.202871191,-3.105957057,0.002665674,0.0409823,-1.993266242,down
ENSG00000165943,64112,MOAP1,14,93648541,93651273,protein_coding,modulator of apoptosis 1 [Source:HGNC Symbol;Acc:16658],-0.192326316,5.351087092,-3.345412052,0.001278596,0.026739943,-1.329154761,down
ENSG00000158417,9669,EIF5B,2,99953816,100017789,protein_coding,eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:30793],-0.192137834,7.424252208,-3.377181747,0.001156911,0.025058184,-1.38717633,down
ENSG00000133773,29080,CCDC59,12,82617460,82752584,protein_coding,coiled-coil domain containing 59 [Source:HGNC Symbol;Acc:25005],-0.191519077,5.388632919,-3.002325748,0.00362432,0.048983357,-2.312448607,down
ENSG00000148660,818,CAMK2G,10,75572259,75634343,protein_coding,calcium/calmodulin-dependent protein kinase II gamma [Source:HGNC Symbol;Acc:1463],-0.190416377,5.48312929,-3.194135424,0.002041909,0.034732713,-1.765019693,down
ENSG00000125977,8894,EIF2S2,20,32676104,32700138,protein_coding,"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa [Source:HGNC Symbol;Acc:3266]",-0.19018314,7.807691414,-3.187382254,0.00208437,0.035075432,-1.94544883,down
ENSG00000236287,101928029,ZBED5,11,10833621,10880343,protein_coding,"zinc finger, BED-type containing 5 [Source:HGNC Symbol;Acc:30803]",-0.189866907,5.898232414,-3.106890945,0.002658225,0.040901106,-2.040533161,down
ENSG00000033030,55596,ZCCHC8,12,122957417,122985518,protein_coding,"zinc finger, CCHC domain containing 8 [Source:HGNC Symbol;Acc:25265]",-0.188981568,5.605350524,-3.227939275,0.001841265,0.032960507,-1.705962974,down
ENSG00000140632,84656,GLYR1,16,4853204,4897343,protein_coding,glyoxylate reductase 1 homolog (Arabidopsis) [Source:HGNC Symbol;Acc:24434],-0.188843789,6.866085318,-3.122435736,0.002537041,0.0395854,-2.094548391,down
ENSG00000155827,56254,RNF20,9,104296133,104325622,protein_coding,"ring finger protein 20, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:10062]",-0.188401959,5.96569728,-3.596954158,0.00057024,0.016641976,-0.661859915,down
ENSG00000188342,2963,GTF2F2,13,45694650,45858237,protein_coding,"general transcription factor IIF, polypeptide 2, 30kDa [Source:HGNC Symbol;Acc:4653]",-0.188363013,4.575284526,-3.527652005,0.00071483,0.019318845,-0.734709503,down
ENSG00000112062,1432,MAPK14,6,35995488,36079013,protein_coding,mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:6876],-0.188270801,6.532597236,-4.500302315,2.40E-05,0.002233137,2.28146932,down
ENSG00000122566,3181,HNRNPA2B1,7,26229547,26241149,protein_coding,heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:5033],-0.187212968,10.54218347,-3.092044999,0.002778978,0.04169569,-2.234549061,down
ENSG00000138041,57223,SMEK2,2,55774428,55846015,protein_coding,"SMEK homolog 2, suppressor of mek1 (Dictyostelium) [Source:HGNC Symbol;Acc:29267]",-0.186863595,7.745948734,-3.672185978,0.00044487,0.014151814,-0.511678333,down
ENSG00000143742,6726,SRP9,1,225965531,225978168,protein_coding,signal recognition particle 9kDa [Source:HGNC Symbol;Acc:11304],-0.186375272,8.075877109,-3.102318567,0.002694884,0.041229759,-2.188428384,down
ENSG00000144747,7110,TMF1,3,69068978,69101484,protein_coding,TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:11870],-0.184912241,6.514429328,-3.055577479,0.003097617,0.044368603,-2.258431973,down
ENSG00000185515,79184,BRCC3,X,154299695,154351349,protein_coding,"BRCA1/BRCA2-containing complex, subunit 3 [Source:HGNC Symbol;Acc:24185]",-0.182823366,4.306624515,-3.860049576,0.000236225,0.009562554,0.316190517,down
ENSG00000147649,92140,MTDH,8,98656407,98740998,protein_coding,metadherin [Source:HGNC Symbol;Acc:29608],-0.182717287,7.785705377,-3.967890519,0.000162927,0.00776126,0.429026611,down
ENSG00000269884,79184,BRCC3,HG1497_PATCH,154239888,154291542,protein_coding,"BRCA1/BRCA2-containing complex, subunit 3 [Source:HGNC Symbol;Acc:24185]",-0.182686101,4.30653048,-3.860715763,0.000235688,0.009562554,0.318305796,down
ENSG00000174579,55167,MSL2,3,135867764,135916083,protein_coding,male-specific lethal 2 homolog (Drosophila) [Source:HGNC Symbol;Acc:25544],-0.182285203,6.941917869,-3.196595208,0.002026646,0.034566584,-1.884986625,down
ENSG00000113597,80006,TRAPPC13,5,64920543,64962060,protein_coding,trafficking protein particle complex 13 [Source:HGNC Symbol;Acc:25828],-0.182028848,4.575727638,-3.022865249,0.003412027,0.047084478,-2.144419921,down
ENSG00000184007,8073,PTP4A2,1,32372022,32410457,protein_coding,"protein tyrosine phosphatase type IVA, member 2 [Source:HGNC Symbol;Acc:9635]",-0.18096427,8.405944642,-3.068652272,0.002979658,0.043154352,-2.285827,down
ENSG00000125944,10236,HNRNPR,1,23630264,23670829,protein_coding,heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:5047],-0.179936818,7.973233885,-4.319779616,4.66E-05,0.003531038,1.6092049,down
ENSG00000125352,7737,RNF113A,X,119004497,119005791,protein_coding,ring finger protein 113A [Source:HGNC Symbol;Acc:12974],-0.179273412,4.6411257,-2.996418971,0.003687602,0.049589659,-2.22962914,down
ENSG00000092470,79968,WDR76,15,44119161,44160617,protein_coding,WD repeat domain 76 [Source:HGNC Symbol;Acc:25773],-0.179107545,5.479029715,-3.218309956,0.001896454,0.033371932,-1.702505616,down
ENSG00000163950,7884,SLBP,4,1694527,1714282,protein_coding,stem-loop binding protein [Source:HGNC Symbol;Acc:10904],-0.179063149,5.930560415,-3.135161271,0.002441693,0.03885471,-1.998215215,down
ENSG00000165494,51585,PCF11,11,82868030,82898493,protein_coding,PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:30097],-0.178261991,7.057591351,-3.299186256,0.001477326,0.029187651,-1.593173834,down
ENSG00000115310,57142,RTN4,2,55199325,55339757,protein_coding,reticulon 4 [Source:HGNC Symbol;Acc:14085],-0.177780835,6.618751576,-3.913993136,0.000196309,0.008550335,0.290295398,down
ENSG00000107581,8661,EIF3A,10,120794356,120840316,protein_coding,"eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:3271]",-0.176937547,8.653246575,-3.554435345,0.000655251,0.018197858,-0.887988634,down
ENSG00000120616,80314,EPC1,10,32556679,32667726,protein_coding,enhancer of polycomb homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19876],-0.176107708,6.16170041,-3.488401529,0.000811482,0.020686209,-0.972615916,down
ENSG00000136628,2058,EPRS,1,220141943,220220000,protein_coding,glutamyl-prolyl-tRNA synthetase [Source:HGNC Symbol;Acc:3418],-0.175613507,8.034872685,-3.258702254,0.001674868,0.031097148,-1.748394363,down
ENSG00000214114,100527950,MYCBP,1,39328636,39347289,protein_coding,MYC binding protein [Source:HGNC Symbol;Acc:7554],-0.174977986,5.118655255,-3.323223665,0.001370621,0.028134265,-1.396071565,down
ENSG00000168724,134218,DNAJC21,5,34929698,34959069,protein_coding,"DnaJ (Hsp40) homolog, subfamily C, member 21 [Source:HGNC Symbol;Acc:27030]",-0.174012149,6.068598738,-3.871313584,0.000227297,0.009361838,0.185602875,down
ENSG00000170234,114825,PWWP2A,5,159488808,159546430,protein_coding,PWWP domain containing 2A [Source:HGNC Symbol;Acc:29406],-0.173578735,4.852385675,-3.036775149,0.003274876,0.045828835,-2.132965298,down
ENSG00000137764,5607,MAP2K5,15,67835047,68099461,protein_coding,mitogen-activated protein kinase kinase 5 [Source:HGNC Symbol;Acc:6845],-0.173505819,4.425963505,-3.085279217,0.002835686,0.042053766,-1.968084099,down
ENSG00000114098,25852,ARMC8,3,137906109,138017231,protein_coding,armadillo repeat containing 8 [Source:HGNC Symbol;Acc:24999],-0.171377124,5.638266439,-3.402128814,0.001069099,0.023726441,-1.204828773,down
ENSG00000137656,84811,BUD13,11,116618886,116643704,protein_coding,BUD13 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:28199],-0.171013548,5.146014995,-3.154263801,0.002304822,0.037676056,-1.873277815,down
ENSG00000116731,7799,PRDM2,1,14026693,14151574,protein_coding,"PR domain containing 2, with ZNF domain [Source:HGNC Symbol;Acc:9347]",-0.170687413,6.394207983,-2.996363151,0.003688205,0.049589659,-2.39493265,down
ENSG00000135297,25821,MTO1,6,74171301,74218959,protein_coding,mitochondrial tRNA translation optimization 1 [Source:HGNC Symbol;Acc:19261],-0.170057766,5.886670227,-3.400000475,0.001076338,0.023859029,-1.245570642,down
ENSG00000025293,51230,PHF20,20,34359896,34538303,protein_coding,PHD finger protein 20 [Source:HGNC Symbol;Acc:16098],-0.168741106,6.164453642,-3.410435941,0.001041281,0.023328645,-1.236980148,down
ENSG00000155729,130535,KCTD18,2,201353675,201384507,protein_coding,potassium channel tetramerization domain containing 18 [Source:HGNC Symbol;Acc:26446],-0.168647637,4.866417546,-3.219918825,0.001887127,0.033291384,-1.651169767,down
ENSG00000164924,7534,YWHAZ,8,101928753,101965616,protein_coding,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta [Source:HGNC Symbol;Acc:12855]",-0.167566105,9.578303479,-3.116125806,0.002585597,0.04014584,-2.166089788,down
ENSG00000122545,989,Sep-07,7,35840542,35944917,protein_coding,septin 7 [Source:HGNC Symbol;Acc:1717],-0.166755191,7.957483728,-3.488969128,0.00081,0.020686209,-1.075566951,down
ENSG00000198081,7541,ZBTB14,18,5289018,5297052,protein_coding,zinc finger and BTB domain containing 14 [Source:HGNC Symbol;Acc:12860],-0.166654121,5.465706838,-3.657094954,0.0004677,0.014607118,-0.422489622,down
ENSG00000065559,6416,MAP2K4,17,11924141,12047147,protein_coding,mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:6844],-0.165294268,5.853172409,-3.077957715,0.002898266,0.042746589,-2.156265674,down
ENSG00000080503,6595,SMARCA2,9,2015342,2193624,protein_coding,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:11098]",-0.164102113,7.188861794,-3.201528624,0.001996353,0.034544937,-1.880395402,down
ENSG00000168411,55159,RFWD3,16,74655292,74700779,protein_coding,ring finger and WD repeat domain 3 [Source:HGNC Symbol;Acc:25539],-0.163919223,6.553455799,-2.99582752,0.003693994,0.049613999,-2.417689847,down
ENSG00000093000,10762,NUP50,22,45559722,45583896,protein_coding,nucleoporin 50kDa [Source:HGNC Symbol;Acc:8065],-0.162603204,7.752693039,-3.279463026,0.00157066,0.030374944,-1.684567154,down
ENSG00000136950,81873,ARPC5L,9,127624409,127640003,protein_coding,"actin related protein 2/3 complex, subunit 5-like [Source:HGNC Symbol;Acc:23366]",-0.161336385,5.323715862,-3.048414669,0.003164066,0.044981088,-2.176336952,down
ENSG00000125304,9375,TM9SF2,13,100153671,100216260,protein_coding,transmembrane 9 superfamily member 2 [Source:HGNC Symbol;Acc:11865],-0.159041316,6.9471694,-3.596464934,0.000571155,0.016641976,-0.721649665,down
ENSG00000122779,8805,TRIM24,7,138145079,138274738,protein_coding,tripartite motif containing 24 [Source:HGNC Symbol;Acc:11812],-0.158235942,5.102892338,-3.076015019,0.002915085,0.042862266,-2.080162953,down
ENSG00000114416,8087,FXR1,3,180585929,180700541,protein_coding,"fragile X mental retardation, autosomal homolog 1 [Source:HGNC Symbol;Acc:4023]",-0.157910764,7.132096709,-3.561266198,0.000640828,0.018011296,-0.836530479,down
ENSG00000058272,4659,PPP1R12A,12,80167343,80329240,protein_coding,"protein phosphatase 1, regulatory subunit 12A [Source:HGNC Symbol;Acc:7618]",-0.157620556,6.94574681,-3.252902751,0.001705117,0.031398189,-1.733020482,down
ENSG00000172939,9943,OXSR1,3,38206580,38296979,protein_coding,oxidative stress responsive 1 [Source:HGNC Symbol;Acc:8508],-0.156878945,6.671747114,-3.894440216,0.000209967,0.008900859,0.226549274,down
ENSG00000168522,2339,FNTA,8,42889337,42940931,protein_coding,"farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:3782]",-0.156511552,6.751974515,-3.522713759,0.000726361,0.019518625,-0.93407132,down
ENSG00000092199,3183,HNRNPC,14,21677295,21737653,protein_coding,heterogeneous nuclear ribonucleoprotein C (C1/C2) [Source:HGNC Symbol;Acc:5035],-0.155885313,9.68397594,-3.149530212,0.002338055,0.037944691,-2.073869749,down
ENSG00000129071,8930,MBD4,3,129149787,129158878,protein_coding,methyl-CpG binding domain protein 4 [Source:HGNC Symbol;Acc:6919],-0.15502444,5.573952529,-3.271397502,0.0016104,0.030463859,-1.586312683,down
ENSG00000112701,26054,SENP6,6,76311225,76427997,protein_coding,SUMO1/sentrin specific peptidase 6 [Source:HGNC Symbol;Acc:20944],-0.154726572,6.736246096,-3.41582238,0.00102361,0.023048775,-1.248930521,down
ENSG00000017797,10928,RALBP1,18,9475007,9538114,protein_coding,ralA binding protein 1 [Source:HGNC Symbol;Acc:9841],-0.153006115,6.422005434,-3.629254971,0.000512773,0.015601527,-0.596556773,down
ENSG00000116489,829,CAPZA1,1,113161795,113214241,protein_coding,"capping protein (actin filament) muscle Z-line, alpha 1 [Source:HGNC Symbol;Acc:1488]",-0.15289192,7.995568554,-3.127721348,0.002497024,0.039198438,-2.11587683,down
ENSG00000172262,100506639,ZNF131,5,43065278,43192123,protein_coding,zinc finger protein 131 [Source:HGNC Symbol;Acc:12915],-0.149919123,5.864079928,-3.378358251,0.001152622,0.025058184,-1.29824467,down
ENSG00000136527,6434,TRA2B,3,185633694,185655924,protein_coding,transformer 2 beta homolog (Drosophila) [Source:HGNC Symbol;Acc:10781],-0.149726086,7.876559608,-3.330993669,0.001337708,0.027791334,-1.539184267,down
ENSG00000091527,55573,CDV3,3,133292574,133309105,protein_coding,CDV3 homolog (mouse) [Source:HGNC Symbol;Acc:26928],-0.149523091,8.419476162,-3.016969617,0.003471751,0.047475391,-2.425472776,down
ENSG00000135090,51347,TAOK3,12,118587606,118810750,protein_coding,TAO kinase 3 [Source:HGNC Symbol;Acc:18133],-0.148494506,6.453876371,-3.756122451,0.000336039,0.011848671,-0.202100804,down
ENSG00000138032,5495,PPM1B,2,44395108,44471523,protein_coding,"protein phosphatase, Mg2+/Mn2+ dependent, 1B [Source:HGNC Symbol;Acc:9276]",-0.147318982,6.508239643,-3.032501727,0.003316457,0.04623921,-2.318615459,down
ENSG00000126773,64430,PCNXL4,14,60558629,60635851,protein_coding,pecanex-like 4 (Drosophila) [Source:HGNC Symbol;Acc:20349],-0.144841271,5.532406276,-3.001061701,0.003637777,0.049121704,-2.318237046,down
ENSG00000116062,2956,MSH6,2,47922669,48037240,protein_coding,mutS homolog 6 [Source:HGNC Symbol;Acc:7329],-0.144614357,7.179905983,-3.102695061,0.002691848,0.041216735,-2.162075482,down
ENSG00000117751,5511,PPP1R8,1,28157289,28178187,protein_coding,"protein phosphatase 1, regulatory subunit 8 [Source:HGNC Symbol;Acc:9296]",-0.139729456,6.382997612,-3.098473405,0.002726077,0.041371451,-2.138727453,down
ENSG00000145216,81608,FIP1L1,4,54243810,55161439,protein_coding,factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:19124],-0.137962299,6.208213275,-3.182550592,0.002115255,0.03543709,-1.893065294,down
ENSG00000012963,55148,UBR7,14,93673401,93695561,protein_coding,ubiquitin protein ligase E3 component n-recognin 7 (putative) [Source:HGNC Symbol;Acc:20344],-0.131242693,6.059845942,-3.234109188,0.001806698,0.03252056,-1.737089891,down
ENSG00000015479,724102,MATR3,5,138609441,138667360,protein_coding,matrin 3 [Source:HGNC Symbol;Acc:6912],-0.125691789,8.869493595,-3.225972958,0.001852411,0.032960507,-1.85385567,down
ENSG00000186001,84859,LRCH3,3,197518097,197615307,protein_coding,leucine-rich repeats and calponin homology (CH) domain containing 3 [Source:HGNC Symbol;Acc:28637],-0.122538845,6.005153432,-3.002267898,0.003624935,0.048983357,-2.360232312,down
ENSG00000101337,9777,TM9SF4,20,30697309,30755061,protein_coding,transmembrane 9 superfamily protein member 4 [Source:HGNC Symbol;Acc:30797],0.121560751,6.462785074,3.08959657,0.002799377,0.041864303,-2.168569829,up
ENSG00000196235,6829,SUPT5H,19,39926796,39967310,protein_coding,suppressor of Ty 5 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11469],0.131158687,7.652554195,3.041852183,0.003226106,0.045456505,-2.343885814,up
ENSG00000179262,5886,RAD23A,19,13056669,13064456,protein_coding,RAD23 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:9812],0.144121096,6.880815117,3.104337822,0.002678637,0.041114571,-2.147774874,up
ENSG00000177479,10425,ARIH2,3,48956254,49023815,protein_coding,ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:690],0.151731397,6.974043702,3.267038092,0.00163227,0.030607501,-1.695647098,up
ENSG00000171204,55863,TMEM126B,11,85339629,85347580,protein_coding,transmembrane protein 126B [Source:HGNC Symbol;Acc:30883],0.152308914,5.484672346,3.022327788,0.003417432,0.04709057,-2.268552983,up
ENSG00000023330,211,ALAS1,3,52232102,52248343,protein_coding,"aminolevulinate, delta-, synthase 1 [Source:HGNC Symbol;Acc:396]",0.154447929,5.867532625,3.272970942,0.001602574,0.030463859,-1.604389086,up
ENSG00000058262,29927,SEC61A1,3,127770484,127790526,protein_coding,Sec61 alpha 1 subunit (S. cerevisiae) [Source:HGNC Symbol;Acc:18276],0.155076558,7.645066654,3.194366779,0.002040469,0.034732713,-1.924127633,up
ENSG00000105669,11316,COPE,19,19010323,19030206,protein_coding,"coatomer protein complex, subunit epsilon [Source:HGNC Symbol;Acc:2234]",0.156653282,6.349426942,3.049475279,0.003154144,0.044905486,-2.270971193,up
ENSG00000134046,8932,MBD2,18,51679079,51751158,protein_coding,methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:6917],0.158247154,6.058104762,3.015372622,0.003488095,0.047542941,-2.342750813,up
ENSG00000159377,5692,PSMB4,1,151372010,151374420,protein_coding,"proteasome (prosome, macropain) subunit, beta type, 4 [Source:HGNC Symbol;Acc:9541]",0.15964994,7.440319181,3.359723087,0.001222361,0.026025529,-1.444840691,up
ENSG00000135956,55654,TMEM127,2,96914254,96931732,protein_coding,transmembrane protein 127 [Source:HGNC Symbol;Acc:26038],0.16046769,5.817082838,3.179075048,0.002137735,0.035750202,-1.866645876,up
ENSG00000072736,4775,NFATC3,16,68118654,68263162,protein_coding,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3 [Source:HGNC Symbol;Acc:7777]",0.1618384,7.65325663,3.445584221,0.000930965,0.021952165,-1.198751827,up
ENSG00000143294,5546,PRCC,1,156720402,156770607,protein_coding,papillary renal cell carcinoma (translocation-associated) [Source:HGNC Symbol;Acc:9343],0.162299447,6.065623206,2.998028431,0.003670258,0.049418806,-2.388624938,up
ENSG00000107021,54662,TBC1D13,9,131549483,131572711,protein_coding,"TBC1 domain family, member 13 [Source:HGNC Symbol;Acc:25571]",0.163242125,5.224346811,3.146635413,0.002358597,0.038032559,-1.884167665,up
ENSG00000198858,91300,R3HDM4,19,896503,913240,protein_coding,R3H domain containing 4 [Source:HGNC Symbol;Acc:28270],0.163350913,6.121040541,3.187838628,0.002081475,0.035057984,-1.847670832,up
ENSG00000160294,8888,MCM3AP,21,47655047,47706211,protein_coding,minichromosome maintenance complex component 3 associated protein [Source:HGNC Symbol;Acc:6946],0.163583282,7.156593663,3.093900922,0.002763607,0.04163953,-2.184828993,up
ENSG00000126561,6776,STAT5A,17,40439565,40463961,protein_coding,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:11366],0.163722083,7.335823555,3.19026137,0.002066168,0.035025457,-1.927715802,up
ENSG00000149923,5531,PPP4C,16,30087299,30096698,protein_coding,"protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]",0.16433195,6.312728473,3.22571922,0.001853854,0.032960507,-1.781587614,up
ENSG00000135597,85021,REPS1,6,139224630,139309398,protein_coding,RALBP1 associated Eps domain containing 1 [Source:HGNC Symbol;Acc:15578],0.165801908,5.847139887,3.19860905,0.002014228,0.034566584,-1.820933332,up
ENSG00000166224,8879,SGPL1,10,72575717,72640930,protein_coding,sphingosine-1-phosphate lyase 1 [Source:HGNC Symbol;Acc:10817],0.166328908,5.324046251,3.112701959,0.002612306,0.040425376,-2.002263053,up
ENSG00000137076,7094,TLN1,9,35696945,35732392,protein_coding,talin 1 [Source:HGNC Symbol;Acc:11845],0.170520224,8.854664174,2.995215705,0.003700618,0.049615106,-2.48856856,up
ENSG00000176087,113829,SLC35A4,5,139944041,139948688,protein_coding,"solute carrier family 35, member A4 [Source:HGNC Symbol;Acc:20753]",0.170881395,6.399981012,3.166039399,0.002224056,0.036793526,-1.953928778,up
ENSG00000115234,9784,SNX17,2,27593389,27599995,protein_coding,sorting nexin 17 [Source:HGNC Symbol;Acc:14979],0.171374594,6.506634296,3.533510134,0.000701376,0.01911959,-0.894002824,up
ENSG00000174437,488,ATP2A2,12,110718561,110788898,protein_coding,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:HGNC Symbol;Acc:812]",0.172250724,7.525241602,3.085800091,0.002831283,0.042053766,-2.218167647,up
ENSG00000136718,92856,IMP4,2,131099798,131105383,protein_coding,"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast) [Source:HGNC Symbol;Acc:30856]",0.172659022,6.078072656,3.165041923,0.002230793,0.036826605,-1.934621543,up
ENSG00000090487,51324,SPG21,15,65255362,65282648,protein_coding,"spastic paraplegia 21 (autosomal recessive, Mast syndrome) [Source:HGNC Symbol;Acc:20373]",0.17327851,5.87546554,3.604718018,0.000555893,0.016410596,-0.639068927,up
ENSG00000158796,9191,DEDD,1,161090764,161102478,protein_coding,death effector domain containing [Source:HGNC Symbol;Acc:2755],0.173558968,5.407608016,3.595088289,0.00057374,0.016641976,-0.624542796,up
ENSG00000173120,22992,KDM2A,11,66886740,67025558,protein_coding,lysine (K)-specific demethylase 2A [Source:HGNC Symbol;Acc:13606],0.173784895,8.011567746,4.169936086,8.00E-05,0.00491621,1.101023465,up
ENSG00000067225,5315,PKM,15,72491370,72524164,protein_coding,"pyruvate kinase, muscle [Source:HGNC Symbol;Acc:9021]",0.174136081,10.06504801,3.169292996,0.002202211,0.036536942,-2.015964881,up
ENSG00000100060,4242,MFNG,22,37865101,37882439,protein_coding,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:7038],0.175611479,7.344022405,3.154679171,0.002301927,0.037661369,-2.026471953,up
ENSG00000169955,65988,ZNF747,16,30537244,30546668,protein_coding,zinc finger protein 747 [Source:HGNC Symbol;Acc:28350],0.176531407,4.25625832,3.13799814,0.002420898,0.038734363,-1.790214022,up
ENSG00000197694,6709,SPTAN1,9,131314866,131395941,protein_coding,"spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:11273]",0.1765439,8.474914278,3.370919794,0.001179997,0.025439385,-1.431013629,up
ENSG00000166716,9640,ZNF592,15,85291866,85349659,protein_coding,zinc finger protein 592 [Source:HGNC Symbol;Acc:28986],0.17910135,6.611948727,3.043922089,0.003206417,0.04539927,-2.290629341,up
ENSG00000010256,7384,UQCRC1,3,48636435,48648409,protein_coding,ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:12585],0.179230061,6.394145593,3.15226865,0.002318775,0.037740617,-1.983459938,up
ENSG00000178252,11180,WDR6,3,49044495,49053386,protein_coding,WD repeat domain 6 [Source:HGNC Symbol;Acc:12758],0.180053107,7.684013744,3.011646123,0.003526512,0.047928036,-2.420797597,up
ENSG00000141867,23476,BRD4,19,15347647,15443356,protein_coding,bromodomain containing 4 [Source:HGNC Symbol;Acc:13575],0.180272067,6.948600672,3.637443234,0.000499105,0.015259496,-0.595701738,up
ENSG00000124688,9587,MAD2L1BP,6,43597277,43608689,protein_coding,MAD2L1 binding protein [Source:HGNC Symbol;Acc:21059],0.182663404,4.90898368,3.3739158,0.001168898,0.025271903,-1.229494692,up
ENSG00000105221,208,AKT2,19,40736224,40791443,protein_coding,v-akt murine thymoma viral oncogene homolog 2 [Source:HGNC Symbol;Acc:392],0.182665188,7.540318691,3.072952314,0.002941786,0.043020647,-2.255539972,up
ENSG00000172270,682,BSG,19,571297,583493,protein_coding,basigin (Ok blood group) [Source:HGNC Symbol;Acc:1116],0.183384144,6.923753121,3.522836659,0.000726072,0.019518625,-0.946588001,up
ENSG00000171148,10474,TADA3,3,9821544,9834695,protein_coding,transcriptional adaptor 3 [Source:HGNC Symbol;Acc:19422],0.183784211,6.303380745,3.071100401,0.002958041,0.043023035,-2.206782486,up
ENSG00000092929,201294,UNC13D,17,73823306,73840798,protein_coding,unc-13 homolog D (C. elegans) [Source:HGNC Symbol;Acc:23147],0.184966553,6.667249483,3.214390097,0.001919361,0.03349739,-1.830308424,up
ENSG00000103512,101930025,NOMO1,16,14927538,14990017,protein_coding,NODAL modulator 1 [Source:HGNC Symbol;Acc:30060],0.185144325,5.857538216,3.751322103,0.000341508,0.011930021,-0.180840294,up
ENSG00000067182,7132,TNFRSF1A,12,6437923,6451280,protein_coding,"tumor necrosis factor receptor superfamily, member 1A [Source:HGNC Symbol;Acc:11916]",0.186560876,5.60326993,2.991813332,0.003737653,0.049949602,-2.352365215,up
ENSG00000135632,10322,SMYD5,2,73441350,73454365,protein_coding,SMYD family member 5 [Source:HGNC Symbol;Acc:16258],0.187050654,5.20823079,3.392511421,0.001102179,0.024204322,-1.207444916,up
ENSG00000131408,7376,NR1H2,19,50832910,50886239,protein_coding,"nuclear receptor subfamily 1, group H, member 2 [Source:HGNC Symbol;Acc:7965]",0.187493668,5.670734984,3.025750376,0.003383149,0.04685736,-2.276710836,up
ENSG00000089693,8079,MLF2,12,6857170,6876641,protein_coding,myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:7126],0.187531974,6.405102274,3.095128334,0.002753486,0.041553408,-2.148576906,up
ENSG00000089057,9962,SLC23A2,20,4833002,4990939,protein_coding,"solute carrier family 23 (ascorbic acid transporter), member 2 [Source:HGNC Symbol;Acc:10973]",0.188096327,5.860441524,3.265462018,0.001640245,0.030726505,-1.628438744,up
ENSG00000135677,2799,GNS,12,65107225,65153227,protein_coding,glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:4422],0.188107716,6.046757457,3.016081571,0.003480831,0.047512916,-2.33575446,up
ENSG00000076108,11176,BAZ2A,12,56989380,57030600,protein_coding,"bromodomain adjacent to zinc finger domain, 2A [Source:HGNC Symbol;Acc:962]",0.188184374,7.878259648,3.023053689,0.003410134,0.047084478,-2.397267435,up
ENSG00000177830,66005,CHID1,11,867357,915058,protein_coding,chitinase domain containing 1 [Source:HGNC Symbol;Acc:28474],0.188580976,4.967826691,3.461210322,0.000885553,0.021527152,-0.982508093,up
